product_category_name,total_orders,items_sold,avg_price,total_gmv,avg_review_score
beleza_saude,8601,9402,130.26,1224678.58,4.19
relogios_presentes,5454,5815,199.35,1159219.92,4.07
cama_mesa_banho,9177,10831,93.58,1013590.72,3.92
esporte_lazer,7486,8378,113.27,948960.45,4.17
informatica_acessorios,6499,7608,116.29,884760.96,3.99
moveis_decoracao,6260,8080,87.38,705997.44,3.95
utilidades_domesticas,5709,6756,90.53,611635.68,4.11
cool_stuff,3531,3689,163.52,603221.05,4.20
automotivo,3792,4099,139.41,571453.35,4.12
ferramentas_jardim,3428,4240,110.21,467301.19,4.08
brinquedos,3774,3999,116.69,466649.15,4.21
bebes,2787,2959,134.27,397301.11,4.08
perfumaria,3076,3329,116.74,388627.77,4.22
telefonia,4069,4404,69.89,307797.66,3.99
moveis_escritorio,1244,1654,160.38,265269.64,3.51
papelaria,2251,2451,90.83,222632.06,4.25
pet_shop,1680,1915,110.04,210727.05,4.22
pcs,174,196,1071.02,209919.14,4.22
instrumentos_musicais,605,645,281.66,181668.42,4.22
eletroportateis,604,653,277.61,181278.82,4.22
NULL,1382,1525,111.25,169652.36,3.94
eletronicos,2498,2710,55.74,151050.36,4.07
fashion_bolsas_e_acessorios,1811,1975,75.21,148530.90,4.19
consoles_games,1009,1079,135.30,145988.42,4.14
construcao_ferramentas_construcao,731,911,154.11,140396.10,4.09
malas_acessorios,1015,1073,128.72,138116.85,4.35
eletrodomesticos_2,226,230,468.45,107744.05,4.16
casa_construcao,481,592,137.09,81155.07,3.96
eletrodomesticos,744,751,104.67,78610.63,4.22
agro_industria_e_comercio,177,206,342.55,70566.10,4.09
moveis_sala,409,490,135.04,66169.04,3.93
casa_conforto,390,427,134.03,57231.55,3.85
telefonia_fixa,209,252,217.12,54715.24,3.76
climatizacao,242,284,185.31,52628.66,4.05
audio,345,358,140.48,50290.91,3.84
portateis_casa_forno_e_cafe,72,73,638.21,46589.56,4.44
moveis_cozinha_area_de_servico_jantar_e_jardim,239,272,166.47,45279.08,4.03
livros_interesse_geral,492,533,84.48,45025.40,4.51
construcao_ferramentas_iluminacao,239,292,134.00,39127.23,4.08
construcao_ferramentas_seguranca,158,182,212.88,38744.22,3.97
industria_comercio_e_negocios,230,262,146.23,38312.81,4.13
alimentos,437,487,58.18,28332.01,4.26
market_place,272,303,91.52,27730.48,4.07
construcao_ferramentas_jardim,190,232,108.17,25096.28,4.12
artes,193,195,120.47,23492.40,4.08
fashion_calcados,231,253,89.34,22602.06,4.28
bebidas,287,361,59.64,21529.84,4.12
sinalizacao_e_seguranca,137,196,108.16,21199.05,4.09
moveis_quarto,90,103,184.97,19051.80,4.25
livros_tecnicos,255,262,71.23,18662.23,4.39
construcao_ferramentas_ferramentas,94,99,159.34,15774.25,4.44
alimentos_bebidas,221,269,55.55,14942.88,4.36
fashion_roupa_masculina,105,124,82.72,10257.33,3.76
fashion_underwear_e_moda_praia,116,126,73.46,9256.05,4.05
artigos_de_natal,123,143,56.13,8027.12,4.07
cine_foto,63,70,95.35,6674.47,4.29
tablets_impressao_imagem,77,81,80.35,6508.43,4.12
musica,38,38,158.80,6034.35,4.21
dvds_blu_ray,56,61,74.47,4542.59,4.18
artigos_de_festas,38,42,106.31,4465.19,3.83
livros_importados,50,57,77.52,4418.86,4.51
moveis_colchao_e_estofado,37,37,116.85,4323.38,3.89
portateis_cozinha_e_preparadores_de_alimentos,13,14,280.97,3933.63,3.43
fashion_roupa_feminina,36,45,58.55,2634.94,3.93
fashion_esporte,26,29,72.22,2094.52,4.34
la_cuisine,12,13,147.54,1917.99,4.00
artes_e_artesanato,23,24,75.58,1814.01,4.13
fraldas_higiene,25,37,40.56,1500.79,3.38
pc_gamer,7,8,163.37,1306.95,3.63
flores,28,31,32.27,1000.24,4.42
cds_dvds_musicais,12,14,52.14,730.00,4.64
casa_conforto_2,23,27,26.72,721.57,3.63
fashion_roupa_infanto_juvenil,7,7,74.28,519.95,5.00
seguros_e_servicos,2,2,141.65,283.29,2.50
