order_month,total_gmv,total_orders,prev_month_gmv,growth_pct
2016-09,134.97,1,NULL,NULL
2016-10,40325.11,265,134.97,29777.09
2016-12,10.90,1,40325.11,-99.97
2017-01,111798.36,750,10.90,1025573.03
2017-02,234223.40,1653,111798.36,109.51
2017-03,359198.85,2546,234223.40,53.36
2017-04,340669.68,2303,359198.85,-5.16
2017-05,489338.25,3546,340669.68,43.64
2017-06,421923.37,3135,489338.25,-13.78
2017-07,481604.52,3872,421923.37,14.15
2017-08,554699.70,4193,481604.52,15.18
2017-09,607399.67,4150,554699.70,9.50
2017-10,648247.65,4478,607399.67,6.73
2017-11,987765.37,7289,648247.65,52.37
2017-12,726033.19,5513,987765.37,-26.50
2018-01,924645.00,7069,726033.19,27.36
2018-02,826437.13,6555,924645.00,-10.62
2018-03,953356.25,7003,826437.13,15.36
2018-04,973534.09,6798,953356.25,2.12
2018-05,977544.69,6749,973534.09,0.41
2018-06,856077.86,6099,977544.69,-12.43
2018-07,867953.46,6159,856077.86,1.39
2018-08,838576.64,6351,867953.46,-3.38
